title,company,tags,salary,location,date,description
General Interest Lastwall,Lastwall,"infosec, dev, marketing, ops, sales, engineer, digital nomad",Not specified,"Fredericton,",2026-05-27T05:00:29+00:00,"The Opportunity Lastwall is a Canadian cybersecurity company focused on identity and mission-critical operations across defense, government, and critical infrastructure. Trusted by the U.S. Department of Defense and the Government of Canada, Lastwall has spent nearly a decade securing sensitive government environments. With FedRAMP Moderate Authorization, proven traction in the U.S. federal market, and growing demand for sovereign cybersecurity capability, we are entering a defining growth phase across Canada and the United States. We are always interested in meeting talented people who are excited by our mission and believe they could contribute to Lastwall's next stage of growth. If you have experience in cybersecurity, identity, software engineering, infrastructure, security compliance, product, operations, sales, marketing, or government technology, we welcome you to submit your information for future opportunities. What We Look For We value people who are thoughtful, security-minded, collaborative, and comfortable operating in a growing company where ownership and practical execution matter. Lastwall is a place for people who care about building trusted technology for high-stakes environments and want their work to have real-world impact. Please mention the word **SOCIABLE** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Executive Assistant Construction,Outsource Access Careers,"design, testing, marketing, exec, virtual assistant, finance, ads, content writing, stats, digital nomad",Not specified,"Philippines,",2026-05-27T04:01:01+00:00,Napost noong 1:34:18 AM. This is a remote position.How You'll Make a Difference Owning the Chaos: You will serve as the…Makita ito at kahalintulad na mga trabaho sa LinkedIn. Please mention the word **UPHELD** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Associate Chief of Staff the Co Founders,Radicle Science,"embedded, sys admin, infosec, education, technical, coordinator, customer support, dev, testing, marketing, travel, speech, exec, payroll, video, cloud, microsoft, ops, excel, stats, medical, recruiter, full time, digital nomad, project manager, finance, junior, virtual assistant, senior, biotech",Not specified,"California, California, United States",2026-05-27T01:18:13+00:00,"Radicle Science is seeking an exceptional, AI-native Associate Chief of Staff to serve as a force multiplier to Co-Founders Pelin Thorogood and Dr. Jeff Chen. This is a high-leverage, founder-facing role designed for a high-ceiling operator ready to grow into strategic leadership as Radicle scales. You may come from an executive assistant, executive operations, founder associate, project management, or operations background. This is not a traditional administrative role — it blends executive operations, founder leverage, project coordination, AI-enabled systems building, and strategic follow-through. The right person thrives in dynamic environments, brings order to complexity, and moves with urgency, judgment, and creativity. After meetings, you've already reviewed the notes, identified priorities, drafted follow-ups, updated trackers, and moved the work forward — without being asked. This role is built for the AI era. You will use agentic AI — Claude, ChatGPT, workflow automation, and emerging tools — not as a nice-to-have, but as your core operating system. You'll be expected to 10x your own output through AI and help build the operational infrastructure that lets Radicle move faster than companies 10x our size. If you're not already experimenting with AI agents, automations, and LLM-powered workflows in your daily work, this role is probably not for you. WHAT YOU'LL DO: ESSENTIAL DUTIES AND RESPONSIBILITIES Founder Leverage & Executive Operations Own and continuously optimize the operating rhythm of the co-founders, including calendars, inboxes, meeting preparation, travel, communications, and priority management Ensure Pelin and Jeff are fully prepared for high-stakes meetings with agendas, materials, context, desired outcomes, and follow-up plans Dynamically prioritize and re-prioritize based on evolving business needs, strategic importance, and founder bandwidth Draft polished communications, manage timely follow-through, and help ensure critical relationships and priorities do not fall through the cracks AI-Enabled Productivity & Systems Use AI tools, LLMs, agentic workflows, and automations to plan, draft, synthesize, organize, and accelerate execution Build and continuously improve AI-enabled systems that multiply executive and organizational productivity Identify and implement opportunities to automate repetitive workflows across scheduling, communications, meeting notes, research, reporting, and follow-up Continuously explore, evaluate, and deploy new AI tools and workflows that help Radicle move at the speed of AI Help establish Radicle's internal playbook for AI-augmented operations Operating Rhythm & Strategic Follow-Through Track key meetings, decisions, action items, owners, deadlines, and next steps to ensure momentum and accountability Independently review meeting notes — including AI-generated summaries — identify priorities, and drive follow-up without needing detailed direction Support the cadence of leadership meetings, company rocks, strategic initiatives, board preparation, investor follow-ups, hiring priorities, partnerships, and other founder-led projects Translate conversations into decisions, owners, next steps, and accountability loops Project & Cross-Functional Coordination Support cross-functional projects led by Pelin and Jeff from planning through execution Coordinate across internal stakeholders to reduce friction, surface blockers, and keep priorities moving Prepare high-quality materials for leadership meetings, retreats, board interactions, investor discussions, and strategic initiatives Serve as a central coordination point for direct reports, leadership team members, advisors, partners, and other key stakeholders Travel, Events & Relationship Management Coordinate seamless business and occasional personal travel, including flights, accommodations, itineraries, and related logistics Plan and execute high-quality internal and external events, including venue selection, guest experience, logistics, and menu planning Maintain and organize key relationships across investors, partners, advisors, clients, prospects, and external stakeholders Represent Radicle with polish, warmth, discretion, and strong judgment WHAT YOU'LL BRING: REQUIRED QUALIFICATIONS 4–8+ years of experience in executive support, executive operations, founder support, project management, operations, or a similar high-leverage role Experience supporting senior executives, founders, or fast-moving leaders in high-growth environments Demonstrated ability to use AI agents and LLMs to independently plan, execute, and iterate on complex workflows — not just prompting, but building systems and agentic workflows that multiply your output Exceptional organization, prioritization, time management, and follow-through Strong written and verbal communication skills, with the ability to draft polished, thoughtful, and context-aware communications High discretion, professionalism, judgment, and emotional intelligence A strong bias toward action, ownership, and closing loops Curiosity, adaptability, and eagerness to continuously learn, experiment, and optimize Comfort operating in ambiguity, change, and speed PREFERRED SKILLS AND EXPERIENCE Experience in startups, healthtech, biotech, wellness, technology, or other high-growth environments Exposure to Chief of Staff-like responsibilities, executive operations, project management, or internal operating systems Familiarity with EOS or similar organizational models Experience supporting multiple executives simultaneously Comfort with tools such as Google Workspace, Slack, Notion, ChatGPT, Claude, CoWork, project management platforms, and other AI-enabled productivity tools Experience building automated workflows or integrating AI tools into operational processes COMPENSATION & GROWTH This is a ground-floor opportunity to grow with a company recognized by Inc. 5000 as one of America's fastest-growing companies and by Fast Company as a ""World Changing Idea"" and ""Most Innovative Workplace."" Base Salary: $80,000–$100,000 (depending on experience) Performance-Based Bonus Equity: Meaningful equity stake in a high-growth healthtech company Clear path from operational leadership to strategic leadership as Radicle scales We're looking for someone who sees this role not as a job, but as a launchpad — someone who wants to grow alongside a company building something that will permanently alter the course of health and wellness for all future generations. WORKING STYLE You are highly proactive, exceptionally organized, detail-oriented, dependable, polished, calm under pressure, creatively resourceful, and energized by getting things done. You love being at the center of the action, connecting dots, anticipating needs, creating clarity, and helping high-impact leaders move faster and better. This is not a traditional corporate Chief of Staff role where the work is primarily strategy decks and executive advising from a distance. It is a hands-on, high-ownership role where you may move from drafting a board follow-up, to preparing a founder for an investor meeting, to cleaning up a messy workflow, to coordinating a leadership offsite — sometimes in the same day. This is a remote-first role with flexibility, with a strong preference for candidates based on the West Coast, ideally in Southern California. The person in this role must be able to work West Coast hours and travel to San Diego approximately 4–6 times per year for company meetings, leadership sessions, and other key in-person gatherings. If you are looking for a predictable 8–5 role with static responsibilities, this is probably not the right fit. If you are excited by speed, mission, trust, variety, AI-enabled leverage, and the opportunity to grow with a category-defining company, this could be an extraordinary role. About Radicle Science Radicle Science is a healthtech pioneer named Fast Company ""World Changing Idea"" for creating the future of proven, precision wellness. Since 2021, Radicle has become the #1 global leader in rigorous clinical evidence generation for wellness — running placebo-controlled trials on more Americans annually than all FDA drug-approval trials combined. We fuse AI, consumer science, and decentralized trials to generate unprecedented data at speed and scale. Our fully automated, vertically integrated platform enables clients to build portfolios of patentable, proven, precision wellness formulas — trusted by consumers, retailers, regulators, healthcare providers, and AI models. Our 10-year vision: A world where 1 billion people dramatically improve their health every day with precision wellness solutions proven by Radicle Science. Culture We seek Rebels With a Cause — team members who are both a skill fit and a values fit. Our core values: Rebel with a Cause — Challenge the status quo, anchored in mission and integrity Audacious (without the ego) — Swing big, iterate fast, don't wait for perfect GSD — Take ownership, follow through, deliver reliably Evidence-Driven — Test, measure, learn, improve Grounded Brilliance — Sharp and humble; curious, respectful, collaborative Transparent — Communicate clearly and candidly so trust stays high The Team Radicle is a team of 35+ Rebels, co-founded in 2020 by Pelin Thorogood , M.Eng/MBA (tech founder, INC 200 Female Founder, Trustee & Vice Chair of UCSD Foundation) and Dr. Jeff Chen , MD/MBA (physician-scientist, founded and led UCLA's natural products research center). Advisors include Peter Diamandis (Fortune ""50 Greatest World Leaders""), Dr. Jonathan Fielding (UCLA Fielding School of Public Health, White House Advisor), and Pamela Harbour (former FTC Commissioner). The work will be hard — but if we succeed, we will permanently alter the course of health and wellness for all future generations. Please mention the word **IMPECCABLE** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Advogado Júnior Trabalhista,"Gasparini, Barbosa e Freire Advogados","excel, non tech",Not specified,"São Paulo, São Paulo, São Paulo, Brasil",2026-05-26T22:19:53+00:00,"Descrição Estamos em busca de profissionais talentosos para se juntarem a nossa equipe em uma oportunidade promissora. Se você valoriza um ambiente de trabalho dinâmico, colaborativo e que estimula o crescimento profissional, esta é a sua chance! No nosso escritório, promovemos a inovação e a excelência, e acreditamos que cada membro da equipe desempenha um papel fundamental no nosso sucesso. Se você possui uma abordagem proativa e quer fazer a diferença, queremos conhecer você. Junte-se a nós e faça parte de um time que valoriza o conhecimento, a ética e a busca incessante pela justiça. Venha desenvolver suas habilidades e contribuir para desafios que realmente importam. Não perca a oportunidade de transformar sua carreira e impactar positivamente a vida de nossos clientes e a sociedade. Candidate-se e venha fazer parte dessa jornada! Responsabilidades e atribuições Elaborar peças processuais de baixa e média complexidade. Realizar pesquisas jurídicas aprofundadas. Representar o cliente em audiências trabalhistas. Gerenciar processos e controlar prazos. Utilizar ferramentas tecnológicas para a gestão de processos. Participar de projetos e colaborar para a melhoria contínua dos processos. Elaborar relatórios processuais. Requisitos e qualificações Graduação em Direito com OAB ativa. Experiência em Direito do Trabalho. Conhecimento em legislação trabalhista e processo do trabalho. Domínio de ferramentas jurídicas e de informática. Boa comunicação escrita e verbal. Disponibilidade para viagens pontuais. Please mention the word **FORTUITOUSLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Community Associate,DraftKings Inc.,"embedded, sys admin, infosec, education, technical, coordinator, customer support, dev, testing, marketing, travel, speech, exec, payroll, video, cloud, microsoft, ops, excel, stats, medical, recruiter, full time, digital nomad, project manager, finance, junior, virtual assistant, senior, biotech, teaching, game dev, content writing",Not specified,"Massachusetts, Massachusetts, United States",2026-05-26T22:05:53+00:00,"At DraftKings, AI is becoming an integral part of both our present and future, powering how work gets done today, guiding smarter decisions, and sparking bold ideas. It's transforming how we enhance customer experiences, streamline operations, and unlock new possibilities. Our teams are energized by innovation and readily embrace emerging technology. We're not waiting for the future to arrive. We're shaping it, one bold step at a time. To those who see AI as a driver of progress, come build the future together. The Crown Is Yours We are looking for a Community Associate to help us build the most engaged, trusted, and exciting sportsbook community in the game. You'll be on the front lines of our official Discord server, helping connect, support, and energize our players every day. In this hands-on, execution-focused role, you'll work closely with the Community Lead to bring our brand to life through conversations, content, and events that matter to our players. What you'll do Be an everyday presence in our Discord server, engaging authentically with our players across channels, topics, and live sports moments. Serve as a trusted point of contact, responding quickly and helpfully to player questions and needs. Create and execute community-first campaigns including giveaways, AMAs, live chats, and themed events in partnership with internal and external teams. Monitor sentiment, player behavior, and emerging trends, and share insights regularly to improve products, features, and the overall experience. Champion the community's voice across the company while upholding our brand tone and standards. Support coverage during sports-heavy periods — evenings, weekends, and big game days (on rotation). What you'll bring At least 1 year of experience building, moderating, or supporting digital communities; preferably around sports, gaming, or consumer brands. Deep familiarity with Discord, including mod tools, roles, bots, and engagement features. Proven ability to create thumb-stopping content and conversations tailored to specific communities. Excellent written communication skills with a flexible tone: professional, playful, empathetic — whatever the moment calls for. A strong sense of urgency and ownership — you're fast, proactive, and solutions-focused. An understanding of Sportsbook or Daily Fantasy Sports products and can talk betting lines, big games, or prop picks without missing a beat. Experience moderating high-volume communities or social platforms during live events is a plus. Knowledge of responsible gaming practices and customer safety. #AC2025 Join Our Team We're a publicly traded (NASDAQ: DKNG) technology company headquartered in Boston. As a regulated gaming company, you may be required to obtain a gaming license issued by the appropriate state agency as a condition of employment. Don't worry, we'll guide you through the process if this is relevant to your role. The US base salary range for this full-time position is 56,300.00 USD - 70,400.00 USD, plus bonus, equity, and benefits as applicable. Our ranges are determined by role, level, and location. The compensation information displayed on each job posting reflects the range for new hire pay rates for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific pay range and how that was determined during the hiring process. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability. Please mention the word **REGALLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Supply Chain Specialist,Crossing Hurdles,,Not specified,,2026-05-26T22:05:24+00:00,Posted 4:43:22 PM. Position: Supply Chain Specialist RoboticsType: Hourly contractCompensation: $34-$40/hourLocation:…See this and similar jobs on LinkedIn. Please mention the word **HAPPY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Freelance Digital Content Creator,Fable England,"design, customer support, exec, video, content writing, senior, marketing, photoshop, illustrator, digital nomad",Not specified,"London Area, London Area, United Kingdom",2026-05-26T21:46:52+00:00,"Fable England is looking for a creative and detail-oriented Digital Content Creator with a strong eye for social first engaging brand content. This role will be creating content across all digital platforms in the brand TOV and must be comfortable appearing on camera and self shooting. This role is ideal for someone who is highly organised, visually creative, and passionate about producing engaging content that reflects the charm and elegance of the Fable England brand. You'll report into the Senior Content Manager to assist with day-to-day content creation, campaign support, and brand storytelling. Key Responsibilities Support the Senior Content Manager with the planning, creation, and scheduling of digital content Create short-form video and visual content for Instagram, TikTok, Pinterest, Performance Marketign and other digital platforms Edit imagery, resize creative assets, and maintain brand consistency across channels Help organise content calendars, creative files, and campaign assets Stay up to date with social media trends, design styles, and digital best practices Requirements Demonstrate experience in digital content creation, video content creation and graphic design via stron portfolio Strong Eye for social first brand content creation in photography and videography Video editing skills using CapCut, Premiere Pro, or similar platforms Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign) and/or Canva Strong eye for aesthetics and visual storytelling Excellent organisation and communication skills Ability to manage multiple tasks and work collaboratively within a creative team Interest in fashion, accessories, lifestyle, or luxury-inspired brands is highly desirable Bonus Skills Interest in graphic deisng and wider brand marketing Working Arrangement Flexible freelance hours Remote working with occasional meetings if required Competitive freelance rate depending on experience Please mention the word **HEALTHFUL** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Clinical Quality Improvement Coordinator,Guidehealth,"embedded, sys admin, infosec, education, technical, coordinator, customer support, dev, testing, marketing, travel, speech, exec, payroll, video, cloud, microsoft, ops, excel, stats, medical, recruiter, full time, digital nomad",Not specified,"Dallas, Dallas, Texas, United States",2026-05-26T21:45:20+00:00,"WHO IS GUIDEHEALTH? Guidehealth is a data-powered, performance-driven healthcare company dedicated to operational excellence. Our goal is to make great healthcare affordable, improve the health of patients, and restore the fulfillment of practicing medicine for providers. Driven by empathy and powered by AI and predictive analytics, Guidehealth leverages remotely-embedded Healthguides™ and a centralized Managed Service Organization to build stronger connections with patients and providers. Physician-led, Guidehealth empowers our partners to deliver high-quality healthcare focused on outcomes and value inside and outside the exam room for all patients. As a growing and innovative organization, we operate with a high degree of agility. Employees are expected to adapt to evolving business needs, step in to support cross-functional initiatives, and contribute beyond traditional role boundaries when needed. This collaborative and flexible mindset is essential to our success. We encourage cross-training, ongoing development, and a commitment to learning across all areas of the business—ensuring we continue to grow and you continue to thrive as a high-performing, mission-driven team. Join us as we put healthcare on a better path!! Job Description WHAT YOU'LL BE DOING Work in a fully remote environment and virtually engage with company and team in your daily work. Subject Matter Expert (SME) on entire scope of QI measures, services, customers and quality initiatives under various commercial and governmental payers. Conduct proactive patient outreach initiatives to identify and address quality gaps, engaging with patients to educate them on preventive care measures, schedule necessary screenings or appointments, and facilitate adherence to treatment plans, thereby contributing to improved health outcomes and closing quality gaps. Collect quality data using various methods of data sourcing-EMR, claims, provider outreach. Manage daily work using multiple systems and applications-EMR systems, payer portals, vendor platforms, Guidehealth applications, Microsoft 365 for Excel, Word and PowerPoint and Teams for messaging and meetings. Work with patient lists, gap lists, sourced health data and medical records in your daily work. Leverage all quality related resources to ensure accuracy and completeness of work measure/project instructions, NCQA/HEDIS® specifications, coding documents, quick reference guides. Prioritize daily work to meet various quality reporting deadlines and requirements. Communicate quality performances, barriers and improvement strategies both internally and with customers. Follow all established policies and procedures for various QI workflows to ensure overall success. Collaborate w/ customers, payers, co-workers to accomplish daily work. Participate in all departmental and payer sponsored webinars/trainings/support calls throughout the year. Communicate professionally and develop positive relationships with co-workers, customers, providers and providers' support staff. Qualifications WHAT YOU'LL NEED TO HAVE Associate degree or greater in related field or certified/licensed professional-CMA, LPN. Minimum 1-3 years of experience in healthcare setting; time spent working/charting/data abstraction via EMR system/s, knowledge of medical terminology, quality measures, medical billing/coding. Minimum 2 years' experience in Medicare Advantage Quality data abstraction and patient outreach Tech savvy in managing the technical side of this position-working with health data, working in excel and PowerPoint, navigating multiple systems and applications. Highly skilled in verbal and written communications. Strong attention to detail, organized and ability to meet hard deadlines. Ability to collaborate w/ others and work effectively with management, co-workers, and customers. Periodic travel may be required. Must have valid driver's license and vehicle. WOULD LOVE FOR YOU TO HAVE Knowledge or experience in quality improvement initiatives and data submissions required by various health insurance payers. Extensive experience with quality database entries and reporting. Experience in interpreting and reporting quality information, as well as training staff. Proficiency in Electronic Medical Record (EMR) software and cloud platforms. Additional Information The base pay range for this role is between $28-$30 per hour paid bi-weekly ALIVE with Purpose: How We Thrive at Guidehealth At Guidehealth, our values come to life in everything we do. We are Driven by Accountability — grounded in transparency, reliability, and integrity as we navigate challenges and opportunities alike. Always Growing, Always Learning — staying curious and continuously improving inspires us to shape a better future for healthcare. With Collaborative Innovation, we solve problems creatively, making every experience better for our employees and the patients we serve. At Guidehealth, Every Voice Matters — we believe our collective strength is rooted in the unique perspectives of each team member. And through Empathy in Action, we build stronger connections with those who count on us. This is what it means to be ALIVE with purpose. This is how we thrive — together — at Guidehealth. BENEFITS: While you are hard at work advancing value-based healthcare, we are here to ensure YOU have the care you and your family need and the opportunities for growth and development. Our commitments to you include: Work from Home: Guidehealth is a fully remote company, providing you the flexibility to spend less time commuting and more time focusing on your professional goals and personal needs. Keep Health a Priority: We offer comprehensive Medical, Dental, and Vision plans to keep you covered. Plan for the Future: Our 401(k) plan includes a 3% employer match to your 6% contribution. Have Peace of Mind: We provide Life and Disability insurance for those ""just in case"" moments. Additionally, we offer voluntary Life options to keep you and your loved ones protected. Feel Supported When You Need It Most: Our Employee Assistance Program (EAP) is here to help you through tough times. Take Time for Yourself: We offer paid time off plans helping you achieve work-life balance and meet your personal goals. Support Your New Family: Welcoming a new family member takes time and commitment. Guidehealth offers paid parental leave to give you the time you need. Learn and Grow: Your professional growth is important to us. Guidehealth offers various resources dedicated to your learning and development to advance your career with us. All full-time employees of Guidehealth who work 30 hours per week or more are eligible for our comprehensive benefits package. Temporary employees and contractors are not eligible for benefits. COMPENSATION: The listed compensation range listed is paid bi-weekly per our standard payroll practices. Final base pay decisions are dependent upon a variety of factors which may include, but are not limited to: skill set, years of relevant experience, education, location, and licensure/certifications. OUR COMMITMENT TO EQUAL OPPORTUNITY EMPLOYMENT Diversity, inclusion, and belonging are at the core of Guidehealth's values. We are an equal opportunity employer. We enthusiastically accept our responsibility to make employment decisions without regard to race, religious creed, color, age, sex, sexual orientation and identity, national origin, citizenship, religion, marital status, familial status, physical, sensory, or medical disability, Family and Medical Leave, military or veteran status, pregnancy, childbirth or other related medical conditions, or any other classification protected by federal, state, and local laws and ordinances. Our management is fully dedicated to ensuring the fulfillment of this policy with respect to hiring, placement, promotion, transfer, demotion, layoff, termination, recruitment advertising, pay, and other forms of compensation, training, and general treatment during employment. Our Comittment To Protection Of Patient And Company Data This position is responsible for following all Security policies and procedures in order to protect all PHI and PII under Guidehealth's custodianship as well as Guidehealth Intellectual Properties. For any security-specific roles, the responsibilities would be further defined by the hiring manager. As a remote-first organization handling sensitive healthcare data, Guidehealth verifies candidate identity at multiple stages of the hiring and onboarding to safeguard patient privacy, data security, and compliance requirements. Remote Work Technical Requirements Guidehealth is a fully remote company. We provide new employees with the necessary equipment to function in their role at no charge to the employee. Employees provide their own internet connection, capable of conducting video calls on camera and connecting to various internal and external systems. The required internet speed is a minimum of 100 mbps download, 10 mbps upload. Please run a speed test here to confirm your internet connection meets these requirements. SECONDARY EMPLOYMENT At Guidehealth, we value transparency and collaboration as part of our commitment to excellence. As your primary employer, we kindly ask all team members to disclose any secondary employment, regardless of whether it may present a potential conflict of interest. To ensure smooth teamwork and availability, employees must be accessible during our stated working hours. We foster connection and engagement by asking team members to join virtual meetings with their cameras on. Please mention the word **OBTAINABLE** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
¿Querés sumarte a liderar cripto en LATAM Dejanos tu perfil ðŸš,Ripio,,Not specified,Buenos Aires y alrededores,2026-05-26T20:19:22+00:00,"¿Querés ser parte de Ripio pero no encontrás una vacante que se ajuste a tu perfil? Sumate a nuestra base de talentos y sé parte del equipo que está redefiniendo las finanzas en la región. Sobre nosotros 🌎 Desde hace más de 13 años lideramos el ecosistema cripto en la región. Hoy somos una de las principales compañías blockchain del mundo con presencia en 8 países, más de 20 millones de usuarios y un equipo apasionado que construye soluciones B2C y B2B sobre tecnología blockchain. ¿A quién estamos buscando? Estamos Siempre Atentos a Personas Que ✔️ Se desafían a sí mismas y buscan ir un paso más allá ✔️ Se anticipan a los cambios en lugar de reaccionar a ellos ✔️ Incorporan IA en su día a día como una herramienta natural ✔️ Tienen mirada estratégica e innovadora ✔️ Vienen a hacer impacto real ✔️ Son apasionadas por la tecnología, las finanzas y el ecosistema cripto ✔️ Piensan en grande y tienen mentalidad emprendedora ¿Te interesa? Si sentís que esto va con vos, cargá tu información para que podamos tenerte en cuenta cuando abramos una búsqueda alineada a tu perfil e intereses. ¡Te queremos en el equipo! Nuestra Propuesta Para Vos #BienestarYFlexibilidad: Tu comodidad está primero Trabajá 100% remoto desde cualquier rincón del país y durante tres meses ¡desde cualquier parte del mundo! Sumate a nuestra cultura de #WorkFromAnywhere . Disfrutá de vacaciones extendidas , con días hábiles para que puedas descansar y desconectar. Contarás con una prepaga de primer nivel para vos y tu familia , así como con tarjeta de almuerzo mensual y ayuda para los gastos de conectividad. #AprendizajeYEvolución : Que puedas aprender y crecer es fundamental. Te ofrecemos cursos de idiomas para que te comuniques a nivel global, acceso a capacitaciones internas con especialistas del mundo cripto y áreas clave para nuestro negocio. También contarás con un presupuesto para tomar capacitaciones externas. #CelebraciónYReconocimiento: Festejamos en conjunto los logros. Contamos con bonos según performance y resultados de negocio , una semana free en las fiestas de fin de año y un día off en tu cumple para que lo celebres como más te guste. ¡Te invitamos a liderar cripto en LATAM! 🚀 👉Búsqueda laboral equitativa. El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo ofrecido. Please mention the word **RESPITE** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Assistant,LBC Mortgage,"design, testing, marketing, exec, virtual assistant, finance, ads, content writing, stats, digital nomad, ops, sys admin, front end, backend, excel, sales, full time, customer support",Not specified,"Baku, Baku, Baku Ekonomic Zone, Azerbaijan",2026-05-26T19:09:25+00:00,"📍 Remote | PST Time Zone 🕘 Full-Time We are looking for a reliable, organized, and proactive Remote Office Assistant to help support daily business operations and communication tasks. This role is perfect for someone who is detail-oriented, responsible, and comfortable handling a variety of administrative, communication, and coordination duties in a fast-paced remote environment. Responsibilities: Handle email correspondence and client communication Assist with invoices, payments, and basic administrative tracking Support the team with daily office and operational tasks Coordinate schedules, follow-ups, and reminders Assist with various personal and business-related tasks when needed Maintain organized records and documentation Communicate with vendors, clients, and internal team members professionally Requirements: Fluent English and Russian language skills (written and spoken) Ability to work during PST business hours Strong communication and organizational skills High attention to detail and ability to multitask Responsible, proactive, and reliable personality Comfortable working remotely and independently Previous administrative or office assistant experience is a plus What We Offer: Fully remote position Friendly and supportive team environment Stable long-term opportunity Opportunity to grow within the company Dynamic and international work environment If you are organized, communicative, and enjoy helping things run smoothly, we would love to hear from you! Please mention the word **EBULLIENTLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Assistente de Recursos Humanos Trabalho Remoto,BairesDev,,Not specified,"Campinas, Campinas, São Paulo, Brasil",2026-05-26T18:39:09+00:00,"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício. Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mundo, trabalhando remotamente em cargos de impacto global. Ao se candidatar para este cargo, você está dando o primeiro passo em um processo que vai além do comum. Nosso objetivo é alinhar suas paixões, habilidades, e expectativas às nossas vagas, colocando você no caminho para desenvolver uma carreira de sucesso excepcional. Assistente de Recursos Humanos na BairesDev Como Assistente de Recursos Humanos na BairesDev, você fornecerá suporte administrativo ao departamento de RH nas operações diárias. Você auxiliará em vários processos de RH, incluindo recrutamento, onboarding, gestão de registros de funcionários e questões básicas de relações com funcionários, trabalhando sob a orientação de profissionais experientes de RH. O que você fará: - Auxiliar na administração de recrutamento, incluindo agendamento de entrevistas e coordenação com candidatos. - Apoiar o processo de onboarding para novos funcionários e ajudar a preparar a documentação necessária. - Manter registros de funcionários e bancos de dados de RH com informações precisas e atualizadas. - Assistir na preparação da folha de pagamento e administração de benefícios. - Responder a consultas básicas relacionadas a RH dos funcionários. - Ajudar a organizar eventos de RH, sessões de treinamento e atividades da empresa. O que estamos procurando: - 1+ ano de experiência em Recursos Humanos ou funções de suporte administrativo. - Conhecimento das funções básicas de RH e procedimentos administrativos. - Proficiência em MS Office e sistemas de informação de RH. - Forte atenção aos detalhes e habilidades organizacionais. - Capacidade de manter confidencialidade com informações sensíveis. - Inglês intermediário. Como tornamos seu trabalho (e sua vida) mais fácil: - Modalidade 100% remota - trabalhe de qualquer lugar. - Excelente remuneração em USD ou na sua moeda local, como preferir. - Hardware para você trabalhar de casa. - Horários flexíveis - faça seu próprio horário. - Licença parental remunerada, férias, e feriados nacionais. - Ambiente de trabalho inovador e multicultural. - Colabore e aprenda com o Top 1% global dos talentos de cada área. - Ambiente de apoio com mentoria, promoções, desenvolvimento de habilidades, e diversas oportunidades de crescimento. Junte-se a uma equipe global onde seus talentos excepcionais podem se destacar! Please mention the word **FREED** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
